Sample.Code,ï..sample,Drain,Site.Code,Repeat.Number,Filter.Size,Sample.Code,Total.Fragment.Count,Fragment.L,Total.Film.Count,Film.L,Total.Bead.Count,Bead.L,Total.Fibre.Count,Blank.deduction,Total.Fibre.Blank.Correction,Fibre.L,Total.MP.Blank.Correct,corrected_counts,corrected_counts_perL,corrected_count_across_sizes,corrected_count_across_sizes/L,catchment_area_ha,catchment_population,residential_proportion,industrial_proportion,services_proportion,agricultural_proportion,naturalenvironments_proportion,waterenvironment_proportion,production_proportion,transportation_proportion,waste_proportion,rainfall_week_prior_mm
K2.2.2,90,K,K2,2,2,K2.2.2,0,0,0,0,0,0,45,1,44,4.4,44,22,2.2,,,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
K2.2.3,91,K,K2,2,3,K2.2.3,0,0,0,0,0,0,25,0,25,2.5,25,10,1,,,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
K2.2.4,92,K,K2,2,4,K2.2.4,0,0,0,0,0,0,8,0,8,0.8,8,2,0.2,,,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
K2.3.1,93,K,K2,3,1,K2.3.1,0,0,0,0,0,0,31,2,29,2.9,29,15,1.5,62,6.2,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
K2.3.2,94,K,K2,3,2,K2.3.2,0,0,0,0,0,0,34,1,33,3.3,33,13,1.3,,,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
K2.3.3,95,K,K2,3,3,K2.3.3,1,0.1,0,0,0,0,30,0,30,3,31,16,1.6,,,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
K2.3.4,96,K,K2,3,4,K2.3.4,0,0,0,0,0,0,36,1,35,3.5,35,18,1.8,,,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
SB1.1.1,97,SB,SB1,1,1,SB1.1.1,11,1.1,0,0,0,0,113,2,111,11.1,122,56,5.6,132,13.2,979.34,16733,67.88,18.79,12.3,0,0.11,0.68,0.23,0,0,31.8
SB1.1.2,98,SB,SB1,1,2,SB1.1.2,2,0.2,0,0,0,0,35,0,35,3.5,37,23,2.3,,,979.34,16733,67.88,18.79,12.3,0,0.11,0.68,0.23,0,0,31.8
SB1.1.3,99,SB,SB1,1,3,SB1.1.3,1,0.1,0,0,0,0,69,2,67,6.7,68,29,2.9,,,979.34,16733,67.88,18.79,12.3,0,0.11,0.68,0.23,0,0,31.8
SB1.1.4,100,SB,SB1,1,4,SB1.1.4,1,0.1,0,0,0,0,52,2,50,5,51,24,2.4,,,979.34,16733,67.88,18.79,12.3,0,0.11,0.68,0.23,0,0,31.8
SB1.2.1,101,SB,SB1,2,1,SB1.2.1,6,0.6,2,0.2,0,0,113,0,113,11.3,121,50,5,142,14.2,979.34,16733,67.88,18.79,12.3,0,0.11,0.68,0.23,0,0,31.8
SB1.2.2,102,SB,SB1,2,2,SB1.2.2,4,0.4,1,0.1,0,0,66,1,65,6.5,70,35,3.5,,,979.34,16733,67.88,18.79,12.3,0,0.11,0.68,0.23,0,0,31.8
SB1.2.3,103,SB,SB1,2,3,SB1.2.3,0,0,0,0,0,0,68,1,67,6.7,67,31,3.1,,,979.34,16733,67.88,18.79,12.3,0,0.11,0.68,0.23,0,0,31.8
SB1.2.4,104,SB,SB1,2,4,SB1.2.4,1,0.1,0,0,0,0,53,1,52,5.2,53,26,2.6,,,979.34,16733,67.88,18.79,12.3,0,0.11,0.68,0.23,0,0,31.8
SB1.3.1,105,SB,SB1,3,1,SB1.3.1,7,0.7,0,0,0,0,51,1,50,5,57,24,2.4,113,11.3,979.34,16733,67.88,18.79,12.3,0,0.11,0.68,0.23,0,0,31.8
SB1.3.2,106,SB,SB1,3,2,SB1.3.2,4,0.4,1,0.1,0,0,65,0,65,6.5,70,31,3.1,,,979.34,16733,67.88,18.79,12.3,0,0.11,0.68,0.23,0,0,31.8
SB1.3.3,107,SB,SB1,3,3,SB1.3.3,2,0.2,0,0,0,0,96,1,95,9.5,97,43,4.3,,,979.34,16733,67.88,18.79,12.3,0,0.11,0.68,0.23,0,0,31.8
SB1.3.4,108,SB,SB1,3,4,SB1.3.4,1,0.1,0,0,0,0,31,0,31,3.1,32,15,1.5,,,979.34,16733,67.88,18.79,12.3,0,0.11,0.68,0.23,0,0,31.8
SB2.1.1,109,SB,SB2,1,1,SB2.1.1,30,6,0,0,0,0,46,2,44,8.8,74,33,6.6,95,19,979.34,16733,67.88,18.79,12.3,0,0.11,0.68,0.23,0,0,5.4
SB2.1.2,110,SB,SB2,1,2,SB2.1.2,22,4.4,13,2.6,0,0,26,0,26,5.2,61,24,4.8,,,979.34,16733,67.88,18.79,12.3,0,0.11,0.68,0.23,0,0,5.4
SB2.1.3,111,SB,SB2,1,3,SB2.1.3,15,3,23,4.6,0,0,16,1,15,3,53,23,4.6,,,979.34,16733,67.88,18.79,12.3,0,0.11,0.68,0.23,0,0,5.4
SB2.1.4,112,SB,SB2,1,4,SB2.1.4,3,0.6,1,0.2,0,0,19,0,19,3.8,23,15,3,,,979.34,16733,67.88,18.79,12.3,0,0.11,0.68,0.23,0,0,5.4
SB2.2.1,113,SB,SB2,2,1,SB2.2.1,0,0,0,0,0,0,28,1,27,5.4,27,7,1.4,66,13.2,979.34,16733,67.88,18.79,12.3,0,0.11,0.68,0.23,0,0,5.4
SB2.2.2,114,SB,SB2,2,2,SB2.2.2,13,2.6,0,0,0,0,34,2,32,6.4,45,27,5.4,,,979.34,16733,67.88,18.79,12.3,0,0.11,0.68,0.23,0,0,5.4
